,texto,polaridad
37,La startup argentina que es capaz de reutilizar sus cohetes como SpaceX Escracharon a Ginés González García en un restaurante porteño. Más: https://clar.in/3lgO9ge Una enfermera utilizó una jeringa vacía para simular la aplicación a una abuela.,Neutral
38,El video del engaño: enfermera vacuna contra el Covid-19 con una jeringa vacía Ernesto Tenembaum blanqueó una charla privada con Alberto Cormillot tras la desagradable frase que lanzó sobre su paternidad.,Neutral
39,Tenembaum reveló que tuvo una charla privada con Cormillot tras el escándalo HORÓSCOPO SEMANAL ✨,Neutral
40,"Horóscopo semanal: predicciones para todos los signos Pablo EskoBear, el oso que se comió 30 kilos de cocaína y ahora será llevado al cine",Neutral
41,"Pablo EskoBear, el oso que se comió 30 kilos de cocaína y ahora será llevado al cine El triste destino de los Barría: tres hermanos muertos en dos tragedias",Neutral
42,El triste destino de los Barría: tres hermanos muertos en dos tragedias El Papa Francisco contó por qué fue a una psiquiatra,Neutral
43,El Papa Francisco contó por qué fue a una psiquiatra DESOLADOR 😭,Neutral
44,Cambio climático: expertos hablan de un futuro 'espantoso' Nominaciones Oscar 2021: categorías y quienes tienen más chances de ganar la estatuilla,Neutral
45,Nominaciones Oscar 2021: categorías y quienes tienen más chances de ganar la estatuilla El repartidor que estudiaba en la calle entre pedido y pedido recibirá una beca,Neutral
46,El repartidor que estudiaba en la calle entre pedido y pedido recibirá una beca Los españoles que acompañarán a Mono Burgos en el banco de Newell's.,Neutral
47,"¿Quiénes son los españoles que acompañarán a Mono Burgos en el banco de Newell's? Oscars 2021: estas son las películas, actores y actrices que competirán por el premio",Neutral
48,"Oscars 2021: estas son las películas, actores y actrices que competirán por el premio HALLAZGO REVELADOR",Neutral
49,Hallazgo revelador: confirman la existencia de una capa oculta en el núcleo de la Tierra Bolivia: la ex presidenta estaba escondida en el baúl de un sommier y circulan sus fotos tras las rejas,Neutral
50,Bolivia: la ex presidenta estaba escondida en el baúl de un sommier y circulan sus fotos tras las... El ex ministro de Salud debió abandonar el local de San Telmo ante la reacción de algunos comensales. Tuvieron que intervenir los mozos. Más: http://clar.in/3lgO9ge. Telegram prepara las salas de voz al estilo de Clubhouse,Neutral
51,Telegram prepara las salas de voz al estilo de Clubhouse Suben las acciones argentinas en Wall Street.,Neutral
52,El dólar blue se vende a $ 142 y el riesgo país vuelve a bajar La escalera del Santo Sepulcro que nadie puede mover desde hace 300 años,Neutral
53,"La escalera del Santo Sepulcro que nadie puede mover desde hace 300 años ""MALEDUCADO, ANDÁ A VACUNAR A LA GENTE GRANDE""",Neutral
54,VIDEO: escracharon a Ginés González García en un restaurante porteño Preocupación en el fútbol argentino 🚨,Neutral
55,La lesión y el llanto de una de las promesas del fútbol argentino que dejó preocupados a todos Cómo se armó la estructura administrativa para beneficiar a Lázaro Báez,Neutral
56,Nueva etapa clave en el juicio a Cristina Adam Levine será vecino de Meghan Markle y el príncipe Harry: la millonaria mansión que compró.,Neutral
57,Adam Levine será vecino de Meghan y el príncipe Harry: la fabulosa mansión que compró Alemania también suspende el uso de la vacuna de AstraZeneca contra el coronavirus,Neutral
58,Alemania también suspende el uso de la vacuna de AstraZeneca contra el coronavirus Racing sumó tres casos positivos de Covid-19,Neutral
59,Racing sumó tres casos positivos de Covid-19 La nueva y original forma de Luis Enrique y la Selección España para anunciar los convocados,Positivo
60,"La nueva y original forma de Luis Enrique y la Selección España para anunciar los convocados Un candidato presidencial peruano se flagela desde hace 40 años y dice estar ""enamorado de la virgen María""",Positivo
61,"Un candidato presidencial peruano dice estar 'enamorado de la virgen María' Fue durante un operativo de Gendarmería cerca de Paso de los Libres. También fue apresado un ex integrante de Prefectura. Más: http://clar.in/30QULZb Versiones que van de Billy Bond a Soda Stereo y Juanse, y hasta una en portugués",Neutral
62,La Biblia de Vox Dei cumple 50 años Cómo es el búnker que salvará al mundo en caso de la llegada del Apocalipsis,Neutral
63,Cómo es el búnker que salvará al mundo en caso de la llegada del Apocalipsis Remates de inmuebles sin herederos: qué hay que saber para participara con un click,Neutral
64,Remates online de inmuebles en pesos: qué hay que saber para participar Desde Juntos por el Cambio denunciaron a Horacio Pietragalla por las embarazadas escondidas en el monte de Formosa.,Neutral
65,Desde Juntos por el Cambio denunciaron a Horacio Pietragalla Cómo y dónde comprar.,Neutral
66,"Electro Fest 2021: arrancaron los descuentos y las 18 cuotas Encontraron restos fósiles de un Ictiosaurio en un campo en Mendoza, en plena cordillera",Neutral
67,"Encontraron restos fósiles de un Ictiosaurio en un campo en Mendoza, en plena cordillera Una vuelta por Key West en la limusina presidencial de Truman",Neutral
68,Una vuelta por Key West en la limusina presidencial de Truman La paradisíaca isla en la cual todos los visitantes son asesinados,Neutral
69,La paradisíaca isla en la cual todos los visitantes son asesinados DESPUÉS DE 40 AÑOS,Neutral
70,Recuperan los restos de tripulantes de un accidente aéreo en la cordillera de los Andes BOLIVIA 🇧🇴,Neutral
71,Cómo quitar los granos internos de forma correcta y sin lastimarse Cómo es la casa hecha con contenedores que vale 4.000.000 de dólares,Neutral
72,Cómo es la casa hecha con contenedores que vale 4.000.000 de dólares Fuerte cambio en el ranking de la ATP,Neutral
73,Fuerte cambio en el ranking de la ATP IMPACTANTE HALLAZGO,Neutral
74,Un jubilado descubrió un palacio medieval debajo de su jardín 20 claves para identificar una dieta destinada al fracaso,Neutral
75,20 claves para identificar una dieta destinada al fracaso Detuvieron a 5 personas por las agresiones a Alberto Fernández en Chubut. Más: http://clar.in/3tm6ZWc Detienen a un concejal entrerriano en Corrientes con más de 11 kilos de marihuana,Neutral
76,"Detienen a un concejal entrerriano en Corrientes con más de 11 kilos de marihuana Tras 18.000 terremotos en una semana, esperan una impactante erupción volcánica repleta de lava.",Neutral
77,"Tras 18.000 terremotos en una semana, esperan una erupción volcánica repleta de lava Inflación: llenar el freezer y la alacena ahora es mejor inversión que el dólar y el plazo fijo",Neutral
78,Inflación: llenar el freezer y la alacena ahora es mejor inversión que el dólar y el plazo fijo TODAS LAS NOVEDADES,Neutral
79,"Ahora, hasta la crema dental viene en tubos 100% reciclables Horacio Rodríguez Larreta y la falta de ministro de Justicia: “Me preocupa, hay vocación de avanzar sobre las instituciones”. Más: http://clar.in/30JqUlt Crece el escándalo: ahora Luciana Salazar publicó sus chats privados con el hijo de Martín Redrado.",Neutral
80,"Luciana Salazar filtró chats con el hijo de Martín Redrado El mundo en fotos, las mejores imágenes del día",Neutral
81,"El mundo en fotos, las mejores imágenes del día Apuñaló más de 100 veces a su madre y la decapitó",Neutral
82,Hija caníbal: apuñaló más de 100 veces a su madre y la decapitó El disco que consumió más de 150 horas de grabación y perduró en el tiempo.,Neutral
83,La Biblia de Vox Dei cumple 50 años: el día que el rock argentino hizo contacto con Dios Internaron a Guillermo Coppola por complicaciones respiratorias. Más: http://clar.in/2OwVlZL Graciela lucha para dar clases a niños indígenas sin conexión para aulas virtuales.,Neutral
84,Una maestra viaja en canoa para dar clases a niños indígenas Fusilaron a un soldado para robarle la moto en la puerta de su casa en José C. Paz,Neutral
85,Fusilaron a un soldado para robarle la moto en la puerta de su casa en José C. Paz La directora de Migraciones dijo que entraron al país delincuentes venezolanos por culpa de Mauricio Macri y salieron a cruzarla.,Neutral
86,Una funcionaria dijo que entraron al país delincuentes venezolanos por culpa de Macri La confesión de un asesor de Alberto Fernández sobre las vacunas,Neutral
87,La confesión de un asesor de Alberto Fernández sobre las vacunas Caminaba por el jardín de su casa y encontró a una beba de una semana enterrada viva,Neutral
88,Caminaba por el jardín de su casa y encontró a una beba de una semana enterrada viva Internaron a Guillermo Coppola por complicaciones respiratorias,Neutral
89,Internaron a Guillermo Coppola por complicaciones respiratorias Estudiantes brasileños le enviaron una carta a Santiago Cafiero para que los dejen ingresar a Argentina. Más: http://clar.in/3bOUfRX 📸 EN FOTOS: Aeroparque estrena nueva pista y vuelve a operar,Neutral
90,"Aeroparque estrena nueva pista y vuelve a operar Sorpresiva renuncia de Rocío Oliva a ""Polémica en el bar"".",Neutral
91,"Rocío Oliva renunció a ""Polémica en el bar"" Cinco cosas que hay que saber de Dante Alighieri, a 700 años de su muerte.",Neutral
92,"Cinco cosas que hay que saber de Dante Alighieri, a 700 años de su muerte La Iglesia Católica afirmó que no aprobará uniones homosexuales porque no puede “bendecir el pecado”. Más: http://clar.in/3ezJGUG Revelan que un río de rocas que fluye bajo el Caribe es lo que ""sostiene"" a Centroamérica",Neutral
93,Revelan que un río de rocas que fluye bajo el Caribe es lo que 'sostiene' a Centroamérica Cómo ver en vivo las nominaciones por TV y online.,Neutral
94,Premios Oscar 2021: cómo ver en vivo las nominaciones por TV y online GEMELOS POR EL MUNDO 💍,Neutral
95,Hay un boom sin precedentes de gemelos en el mundo Las claves del empate en el Superclásico.,Neutral
