,texto,polaridad
29,"En un programa del canal español LaSexta mostraron, comentaron y dieron credibilidad a un video de broma publicado en el canal de YouTube ruso BARAKuda en el que 'grupos sanitarios' irrumpen en los hogares y vacunan por la fuerza a los ciudadanos Una bañista se niega a ponerse mascarilla en una playa de Chile",Neutral
30,Fiscalizadores pidieron a una bañista que tomaba el sol en una playa de Zapallar (Chile) que se pusiera una mascarilla: esa mujer primero se negó y solo accedió tras la insistencia de las autoridades. Detienen a un preso fugado por salir de casa para comprar el juego 'Call Of Duty',Neutral
31,"Un delincuente que se había fugado de la cárcel donde cumplía una sentencia de 17 años de prisión por robo a mano armada fue detenido cuando abandonó su encierro domiciliario para ir a Birmingham (Inglaterra, Reino Unido) a comprar el último juego de la saga 'Call of Duty'. Marinos de Tailandia rescatan a cuatro gatos náufragos",Neutral
32,"Marinos de Tailandia rescataron a cuatro gatos de un barco que se hundía en el mar de Andamán. John Smyly, oficial de Policía de Colorado (EE.UU.), confrontó durante más de 20 minutos a un estudiante negro que se encontraba recogiendo basura frente a su residencia. Una investigación independiente concluyó que su interacción con el joven ""cumplió o superó"" los estándares policiales y no encontró señales de racismo en su actuación. El agente acabó dimitiendo a consecuencia del escándalo que provocó el incidente. Durante la Guerra Fría, EE.UU. empleó diversos medios para intentar demostrar la ""superioridad"" de su economía. En 1949, utilizó los dibujos animados 'Meet King Joe' para afirmar que los estadounidenses eran ""los reyes de los trabajadores del mundo"". Israel ofrece pasaportes de vacunación para sus ciudadanos",Neutral
33,"El primer ministro de Israel, Benjamín Netanyahu, visitó el pasado 4 de marzo un gimnasio de Modín junto con la primera ministra de Dinamarca, Mette Frederiksen, y el canciller de Austria, Sebastian Kurz, para observar el funcionamiento del pase verde que su país estableció para que los israelíes vacunados contra el covid-19 o que se recuperaron de esa enfermedad puedan retomar determinadas actividades cotidianas. Un joven vietnamita afirmó que no encontraba trabajo debido a su físico, por lo que decidió someterse a varias operaciones de cirugía estética. Tras pasar por el quirófano, fue contratado como modelo. Croacia sufrió el pasado diciembre dos graves terremotos de magnitud 5,2 y 6,3 que ocasionaron la muerte de al menos 7 personas y provocaron la aparición de un centenar de socavones en tan solo dos meses. El presidente de Brasil, Jair Bolsonaro, pidió el 4 de marzo a sus conciudadanos que dejen de 'lloriquear' por el covid-19 en un discurso pronunciado después de que el país registrara dos días consecutivos de récords en número de muertes. Numerosos internautas se indignaron en las redes por sus palabras y recordaron el momento cuando él estuvo hospitalizado y cuando habló entre lágrimas del apuñalamiento que sufrió durante la campaña electoral. Desde la izquierda, muchos lo comparan con Trump o Bolsonaro. Desde la derecha, la comparación es con Hugo Chávez. Pero sea lo que sea, Bukele sigue ganando elecciones en El Salvador Un grupo de 168 indígenas que residían en el departamento de Antioquia (Colombia) tuvieron que abandonar su comunidad ante las amenazas del Ejército de Liberación Nacional. Una nueva variante de coronavirus siembra temor en el mundo",Neutral
34,"Un año después del inicio de la pandemia, Brasil vive un momento dramático a medida que aumentan los fallecidos y contagiados, crece el riesgo de colapso hospitalario, regresan las medidas de cuarentena y se propaga una nueva variante del covid-19 potencialmente más contagiosa que genera preocupa enormemente a escala mundial. El papa Francisco aterriza en Irak Un piloto que realizaba su primera práctica de vuelo en Australia se vio obligado a aterrizar de emergencia después de que su instructor perdiera el conocimiento en plena lección. China se convierte en el primer país con más de 1.000 multimillonarios",Neutral
35,"China se ha convertido en el primer país del mundo que tiene más de 1.000 multimillonarios: registró 259 nuevos súper ricos en 2020, a pesar de la pandemia mundial de covid-19. El presidente de la República Dominicana, Luis Abinader, aseguró que su país comenzará a construir en su frontera con Haití un muro de 190 kilómetros equipado con sensores de movimiento, cámaras de reconocimiento facial, radares y sistemas de rayos infrarrojos en el segundo semestre de 2021. Amnistía Internacional denuncia abusos de policías en protestas feministas de México",Neutral
36,"La ONG Amnistía Internacional asegura que policías de México cometieron abusos y otros actos violentos contra los derechos humanos de mujeres que participaron en protestas feministas y piden a las autoridades de ese país que garanticen que no se repita esa ""represión"" en las protestas previstas para el próximo 8 de marzo. Una comisión independiente que investiga los casos de pederastia por parte de religiosos de la Iglesia católica de Francia estima que al menos 10.000 niños sufrieron abusos sexuales desde 1950. Estos niños padecen atrofia muscular espinal (AME), una rara enfermedad hereditaria que destruye progresivamente las neuronas motoras inferiores de las personas y hoy en día solo se trata con medicamentos muy caros: uno de esos remedios cuesta más de dos millones de dólares. Las aspas de los aerogeneradores están compuestas por fibra de vidrio elaborada para resistir las inclemencias climáticas y durar unos 20 años así que, como no se reciclan con facilidad, muchas terminan en vertederos porque es la opción más barata… y contaminante.",Neutral
37,February 23 at 8:42 PM ·,Neutral
38,Los aerogeneradores crean un nuevo problema medioambiental,Neutral
39,"Antes parecía que la energía 'verde' de los aerogeneradores era la salvación definitiva para el planeta, pero sus aspas terminan en vertederos y son difíciles de reciclar. Esta versión de un clásico de la música cubana, interpretada por una familia franco-coreana, se convirtió en toda una sensación musical en las redes",Neutral
40,Cortesía: Isaac et Nora Las hermanas del rey de España se habrían vacunado antes de tiempo en EAU,Neutral
41,"Las infantas Elena y Cristina de Borbón, hermanas del rey Felipe VI de España, se habrían vacunado contra el covid-19 antes de lo que les correspondería cuando viajaron a Abu Dabi (EAU) a principios de febrero para visitar a su padre, el rey Juan Carlos. Pepe Perretta es el artista responsable de muchos grandes lienzos que despliegan los hinchas en los estadios de fútbol de Argentina y exportó su arte a otros países del mundo. Concejal de Vox: ""el hombre tiene mucho más rendimiento que la mujer""",Neutral
42,"Rafael Azor, portavoz de Vox en Baza (Andalucía, España), manifestó que no apoya la celebración del Día Internacional de la Mujer y aseguró que los varones ofrecen mejor rendimiento en ciertos deportes. La plataforma genealógica MyHeritage recurrió a la inteligencia artificial para crear Deep Nostalgia, una tecnología que 'da vida' a retratos al dotarlos de movimiento y sirve tanto en fotos de familia como en memes. Alberto Fujimori, expresidente de Perú, se enfrenta a otro juicio por violación de derechos humanos debido a las miles de esterilizaciones forzadas que tuvieron lugar durante su mandato. Las autoridades de Pakistán han creado una brigada policial de patinadores para vigilar zonas de Karachi con calles estrechas. ¿Qué conocemos sobre Emiratos Árabes Unidos? Lujo, petróleo... pero no todo es tan simple como parece. Les explicamos varios aspectos destacados sobre ese país de Oriente Medio Encuentran una oveja perdida con más de 35 kilos de lana",Negativo
43,El espeso pelaje le impedía ver y alimentarse debidamente antes de que los rescatistas pudieran ayudarla. Las discusiones y los empujones durante una multitudinaria asamblea estudiantil habrían provocado que la construcción cediese.,Neutral
44,March 2 at 9:32 PM ·,Neutral
45,Mueren varios estudiantes por el colapso de una baranda en Bolivia,Neutral
46,"Al menos tres estudiantes murieron y otros cinco resultaron heridos de gravedad al colapsar una baranda ubicada en la tercera planta de la Universidad Pública de El Alto (Bolivia). -Bombardeo a Siria, centros de detención para menores migrantes... Admítelo, Biden se parece cada vez más a Trump…",Neutral
47,"-Eso es ridículo, no puedes comparar a Joe Trump con Donald Biden, no tienen nada que ver… ¿De qué te ríes? ¿Qué dije? Miembros de la aerolínea estadounidense Frontier echaron de uno de sus aviones a una familia de judíos ortodoxos debido a que no pusieron mascarilla a su bebé de 18 meses, a pesar de que el reglamento de la compañía solo requiere que lleven tapabocas los mayores de 2 años. Hyundai muestra el concepto de su primer auto autónomo, capaz de 'caminar' y volar con ayuda de drones y que puede usarse hasta en otros planetas",Neutral
48,March 2 at 6:19 PM ·,Neutral
49,"El nuevo robot autónomo de la compañía surcoreana Hyundai Motor lleva objetos a cualquier lugar sin importar las características del terreno y puede resultar útil en situaciones de emergencia. Algunos japoneses sufrieron ""gran dolor psicológico"" después de que les realizaran pruebas anales de covid-19 en China y el secretario jefe del Gabinete de Japón, Katsunobu Kato, anunció el pasado 1 de marzo que la Embajada nipona en ese país había presentado una solicitud formal para solicitar a las autoridades chinas que les eximan de someterse a esos test. El dueño de un bazar previene el secuestro de un bebé en España. Antoine, un actor parisino de 23 años, se metió en la piel de una mujer por un día para saber qué se siente: así fue el experimento social #ÀNotrePlace (en nuestro lugar, en francés) del movimiento Ni Putes Ni Soumises (Ni putas ni sumisas). Así es como George H. W. Bush y Ronald Reagan respondían a una pregunta sobre inmigración ilegal en un debate presidencial para las primarias del Partido Republicano en 1980. Separaron a una embarazada de ocho meses de su marido en la frontera con EE.UU.",Positivo
50,"""No vas a ver más a tu marido"", le dijo un policía de fronteras estadounidense a esta solicitante de asilo salvadoreña embarazada de ocho meses. Dos años después, el sistema de inmigración de EE.UU. todavía no permite que esta familia se reúna. Prometía curar la vejez con testículos de mono",Neutral
51,"Hace un siglo, el doctor Serge Vóronov se hizo famoso porque intentó rejuvenecer a cientos de personas con trasplantes de testículos y ovarios de primates y esta práctica inspiró famosas obras literarias. La historia de las fuerzas de mantenimiento de la paz de la ONU comenzó en 1948, cuando equipos de observadores de ese organismo internacional observaron la tregua entre Israel y diferentes países árabes. Desde entonces, han llevado a cabo más de 70 operaciones, algunas no exentas de graves polémicas. Cerca El Cairo habitan unas 50.000 personas rodeadas de basura: los zabbalín viven de reciclar alrededor del 85 % de los desechos de la capital de Egipto.",Neutral
52,"https://youtu.be/nCtwelpWtJY Conozcan a Sofía, una niña de 7 años de Ekaterimburgo (Rusia) que se está entrenando para convertirse en campeona de levantamiento de peso. Encontraron en la calle a una perrita con las patas vendadas, en una clínica veterinaria confirmaron que sufría varias fracturas y heridas que requerían tratamiento urgente y, tras una larga rehabilitación, ahora vive feliz en su nuevo hogar. La zona recuerda a la famosa ciudad de Pripiat, solo que aquí no hay radiación: la gente huye del lugar por su frío extremo. Así es como se ve ahora a vista de pájaro esta ciudad abandonada. Seis tanquistas británicos sobrevivieron tras pasar 72 horas encerrados en un tanque sobrecalentado sin agua ni comida mientras frenaban ataques de las tropas alemanas durante la Primera Guerra Mundial. ❗️ UE acuerda implementar certificados de vacunación",Neutral
